text	multi_label
मेरे देश के हिन्दु बहुत निराले है। कुछ तो पक्के राम भक्त है और कुछ बाबर के साले है  जय श्री राम 	hate,offensive
सरकार हमेशा से किसानों की कमाई को बढ़ाने के लिए नईनई स्कीमें लाती रहती है, ताकि उन पर ज्यादा आर्थिक बोझ न पड़े.	non-hostile
सुशांत ने जो बिजनेस डील जून को की थी, वो डील दीपेश को सुशांत की हत्या के दिन ही क्यों याद आई देखिए पूछता है भारत अर्नब के साथ रिपब्लिक भारत पर 	non-hostile
साले जेएनयू छाप कमिने लोग हिन्दुओं को यह कहते है की संविधान सबको बराबर अधिकार देता है। सच्चाई यह है कि यह बराबर अधिकार नहीं देता है।	defamation,offensive
 अनलॉक4 के लिए गाइडलाइन्स जारी  सितंबर से देशभर में मेट्रो सेवा शुरु होगी  सितंबर के बाद रैलियों और बाकी फंक्शन में लोगों को इजाजत  कंटेनमेंट जोन में कोई छूट नहीं  सिनेमाहॉल अभी बंद रहेंगे  से वीं के छात्र सितंबर के बाद स्कूल जा सकेंगे.	non-hostile
चीन ने UN में तर्क दिया की भारत का विपक्ष ही अजर‌ मसुद को आतंकी नहीं मानता तो हम कैसे माने। चुल्लू भर मूत्र में डूब मरो गद्दारों। अब यह भारत के लोगों को सोचना है कि वो विपक्ष को वोट क्यों करें…विक्रम शर्मा	fake
देश में के रिकॉर्ड मामले	non-hostile
Exam center से निकले को सुन बाकी छात्रों के साथ Parents के चेहरे पर मुस्कान आ जाएगी	non-hostile
जल्द ही बेयर ग्रिल्स के शो इंटू द वाइल्ड विद बेयर ग्रिल्स में नजर आने वाले हैं।	non-hostile
ीवनसंवाद हम संघर्ष करना चाहते हैं, क्योंकि सामने संघर्ष की मिसाल रखना चाहते हैं. नए शहर में इतना कुछ नया होगा कि हमें अपनी जड़ें जमाने में बरसों बीत जाएंगे. हम कर्ज में जरूर हैं, लेकिन हम हारना नहीं चाहते. वह भी बिना लड़े.	non-hostile
   मोदीजी और जब सारा देश सेना के साथ खडी है, पर दो सयाने विदेश मे पडे है इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त न…	hate
   घरों को तोड़ने का आदेश आया है, किसी को कोई फर्क़ नहीं पड़ता अमीरों के में से मकान के किसी अवैध हिस्से भी एक…	offensive
जब बीजेपी प्रवक्ता ने कांग्रेस प्रवक्ता को कहा हेड मिस्ट्रेस तो सुनिए कांग्रेस प्रवक्ता ने क्या जवाब दिया ्लाबोल	non-hostile
बियर ग्रिल्स के साथ खतरनाक जंगलों में दिखेंगे अक्षय कुमार, जारी किया वीडियो	non-hostile
आजम खान की बेटी पर ससूर ने किया रेप। अब quatation ये उठता है कि होने वाला बच्चा आजम खान के रियल दमाद को क्या बोलेगा।	offensive
कांग्रेस मूल की कंगना रनौत बिहार चुनाव में भाजपा का प्रचार करेंगी	fake
होम आइसोलेशन में रहने वाले लोग थर्मामीटर तथा पल्स ऑक्सीमीटर साथ रखें। यदि किसी को खांसी या बुखार आये अथवा सांस फूले तो तत्काल हेल्पलाइन नं. अथवा पर सम्पर्क करे ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी	non-hostile
पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह ने राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी को श्रद्धांजलि दी	non-hostile
IPL छोड़ेंगे  अधिकारी ने दिया अपडेट	non-hostile
चेकिंग के बहाने उगाही करने वाले गिरफ्तार, शातिर बदमाशों को पुलिस ने किया गिरफ्तार, स्कूटी, तमंचे, मोबाइल बरामद किया, देहात कोतवाली पुलिस ने किया गिरफ्तार।	non-hostile
जापान के नोबल पुरस्कार जीतने वाले ओर साल तक चीन में काम करने वाले प्रोफेसर ासुकूहोंजो का दावा, कोरोना प्राकृतिक नही कृत्रिम वायरस है जो चीन ने बनाया है।	fake
दिल्ली में हिंदुओं और सिक्खों की सामूहिक हत्याएं करने के लिए आतंकवादी जेहादी घी के डिब्बे में अवैध हथियार सप्लाई करते हुए धर दबोचे गए।	fake,hate
कुत्ते में भी एकता होती है विचारों में विरोध होती लेकिन फिर भी उसे में एकता होती है पत्रकार में नहीं आज तक न्यूज़ चैनल पर आशुतोष सर को गौरव भाटिया बोला दोनों कान पर थप्पड़ मारूंगा वहां बैठा पत्रकार रोहित सरदाना सुनती रही मुझे बहुत दुख हुई	offensive
प्रणब मुखर्जी ने प्रार्थियों से जुड़ी दया याचिकाओं को खारिज कर दिया. प्रणब से पहले राष्ट्रपति रहीं प्रतिभा पाटिल ने सबसे ज्यादा लोगों को फांसी के फंदे से बचाया था. प्रणब ने सिर्फ सात की फांसी की सजा माफ की.	non-hostile
लद्दाख के करीब चीन ने फिर से तैनात किए अपने J20 लड़ाकू विमान, लगातार भर रहे हैं उड़ान	non-hostile
हा बे कटे लैंड की पैदाइस हलाला की ओलाद तुम्हे ये नही मालूम तेरा अबु कौन है और तेरी खाला जान चुदाईखाना को नहीं पता कि तेरा अबु मौलवी साहब है, चचा है ,भाई जान है या पड़ोस वाला अब्दुल,फारुख, रहिस चचा भी तेरे अबु जान हो सकते है।साला सुवर तेरी ...	hate,offensive
गृह मंत्री अमित शाह को बोन कैंसर से जूझ रहे हैं	fake
ट्विटर पे बहुत से चूतिये मिलेंगे, जो साले हिंदुओं का विरोध करते हुए मिल जाएंगे... उनकी खुद की फेक id होती है, अब जैसे इसी चमन चूतिये को देखिए, पिस्टल पांडेय नाम रखे हैं और हिंदुओं के विरोध में लगे हुए है। किसी का भाड़े का टट्टू होगा, विरोध करने के , पा जा रहा होगा बस तभी।	hate
राहुल गांधी  Maa मैं अगले साल क्या करूंगा  सोनिया गांधी  बेटा TV रिचार्ज कर दिया है बैठकर छोटा भीम देख.	defamation
CCTV में रिकॉर्ड हुई चोर की चोरी, ढेर सारे सोने के सिक्के बरामद किए गए	non-hostile
टीवी पर आने से पहले इतनी तैयारी करता है ये गरीब आदमी	fake
अब यह असंभव ही लग रहा है कि कोई ऐसा बंदा जो रिटायर हो चुका है और अब कोई क्रिकेट नहीं खेलेगा, वो CSK के लिए वापस आएगा. शायद, हो सकता है कि वह ऑक्शन में दोबारा जाएं और कोई दूसरी टीम उन्हें खरीद ले	non-hostile
नई राष्ट्रीय शिक्षा नीति तीन भाषा नीति को तमिलनाडु सरकार ने किया खारिज, कहा दो भाषा पर ही होगा अमल	non-hostile
भारत की असंगठित अर्थव्यवस्था पर दूसरा बड़ा हमला है जीएसटी राहुल गांधी	non-hostile
योगी आदित्यनाथ जी के अथक परिश्रम का ही प्रतिफल है कि उत्तर प्रदेश सभी विडम्बनाएं पीछे छोड़ सर्वांगीण विकास के रास्ते चल पड़ा है। जय हो जी।	hate
 मोदी जी के मोर के साथ वाले फोटो पर राहुल गाँधी का करारा जवाब 	defamation
शांतिप्रिय द्वारा मोहम्मद पैगंबर पर आपत्तिजनक टिप्पणी के लिए बैंगलोर में उपद्रव और हमारे यहाँ ीरखान जो नियमित रूप से हिंदू देवीदेवताओं को गाली दे रही थी। Although Prayagaj remained peaceful..	hate
जेईई पहली पाली की परीक्षा खत्म, बाहर निकले स्टूडेंट्स ने कहा कोरोना को लेकर डर था, लेकिन खुशी इस बात की है कि हमारा एक साल बचा	non-hostile
