text	bin_label
मेरे देश के हिन्दु बहुत निराले है। कुछ तो पक्के राम भक्त है और कुछ बाबर के साले है  जय श्री राम 	host
सरकार हमेशा से किसानों की कमाई को बढ़ाने के लिए नईनई स्कीमें लाती रहती है, ताकि उन पर ज्यादा आर्थिक बोझ न पड़े.	not
सुशांत ने जो बिजनेस डील जून को की थी, वो डील दीपेश को सुशांत की हत्या के दिन ही क्यों याद आई देखिए पूछता है भारत अर्नब के साथ रिपब्लिक भारत पर 	not
साले जेएनयू छाप कमिने लोग हिन्दुओं को यह कहते है की संविधान सबको बराबर अधिकार देता है। सच्चाई यह है कि यह बराबर अधिकार नहीं देता है।	host
 अनलॉक4 के लिए गाइडलाइन्स जारी  सितंबर से देशभर में मेट्रो सेवा शुरु होगी  सितंबर के बाद रैलियों और बाकी फंक्शन में लोगों को इजाजत  कंटेनमेंट जोन में कोई छूट नहीं  सिनेमाहॉल अभी बंद रहेंगे  से वीं के छात्र सितंबर के बाद स्कूल जा सकेंगे.	not
चीन ने UN में तर्क दिया की भारत का विपक्ष ही अजर‌ मसुद को आतंकी नहीं मानता तो हम कैसे माने। चुल्लू भर मूत्र में डूब मरो गद्दारों। अब यह भारत के लोगों को सोचना है कि वो विपक्ष को वोट क्यों करें…विक्रम शर्मा	host
देश में के रिकॉर्ड मामले	not
Exam center से निकले को सुन बाकी छात्रों के साथ Parents के चेहरे पर मुस्कान आ जाएगी	not
जल्द ही बेयर ग्रिल्स के शो इंटू द वाइल्ड विद बेयर ग्रिल्स में नजर आने वाले हैं।	not
ीवनसंवाद हम संघर्ष करना चाहते हैं, क्योंकि सामने संघर्ष की मिसाल रखना चाहते हैं. नए शहर में इतना कुछ नया होगा कि हमें अपनी जड़ें जमाने में बरसों बीत जाएंगे. हम कर्ज में जरूर हैं, लेकिन हम हारना नहीं चाहते. वह भी बिना लड़े.	not
   मोदीजी और जब सारा देश सेना के साथ खडी है, पर दो सयाने विदेश मे पडे है इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त न…	host
