text	multi_label
यह कमीने जैसा दिखता है	offensive
CM की मिलीभगत से बीजेपी के राजस्थानी संगठन मंत्री सुनील बंसल ने पूर्वांचल एक्सप्रेसवे,बुंदेलखंड एक्सप्रेसवे और गोरखपुर आजमगढ़ लिंक एक्सप्रेसवे,में मोटा सात प्रतिशत का कमीशन खाया है समाजवादी पार्टी मांग करती हैकि इस घोटाले की SC के निर्देश पर सीबीआई से जाँच हो।	defamation,hate
बीजेपी को जाने वो क्या है बॉयकॉट की आड़ में चीन से आयात बढ़ा।जून में आयात अरब डॉलर से बढ़कर जुलाई में हो गया ।	non-hostile
किसी ने सही कहा है कुत्ते की घी हजम नहीं होता कुछ बैल बुद्धि जन्मजात अपरधियों को कितना भी बड़ा पद मिल जाए या संसद जैसी पवित्र जगह बैठने का मौका मिल जाए ...करेंगे तो वो वही जो गलियों में करते फिरते है मारना कूटना गाली देना	offensive
मोदी जी ने इतना पुख़्ता काम कर दिया है कि अगली बार जो भी सत्ता में होगा, देश का कुछ नहीं बेच पाएगा	hate
अभी पीएम मोदी को बोलने में वक्त था, लेकिन उसके पहले ही इस टाइमर वाले वीडियो को दनादन डिसलाइक्स मिल रहे हैं. खबर लिखे जाने तक इसे हज़ार लोगों ने लाइक किया है, तो वहीं हज़ार लोग डिसलाइक कर चुके हैं.	non-hostile
मोर नचा के कौन सी बड़ी तोप छोड़ दिये मोदी जी  हमारी मालकिन तो खुद नाचती थी पर हमने तो कभी घमंड नहीं किया  चमचा 	defamation
िकासगायबहै ये सरकार कुछ भी कर सकती है Ind Pak T20 के नाम पर वोट ले सकती है,ओछी राजनीति करके वीर जवानों की शहादत का श्रेय ले सकती है और बेरोजगार युवाओं से फार्म भरने की  रुपये फीस ले सकती है।	defamation
काली गुफाओं के सुअर के अंडे मेरे पीछे नहीं आते हैं, मुझसे उचित दूरी बनाए रखते हैं या फिर पीछे से डंडे से मारते हैं ...	offensive
भारतीय संस्कृति में गुरुशिष्य का संबंध अद्भुत है, अनुपम है। गुरु ही, गोविंद तक पहुंचने का माध्यम हैं। शिक्षक दिवस के पुनीत अवसर पर सभी आदरणीय गुरुजनों के श्रीचरणों में सादर नमन। गुरुदेव अपने आशीष से हम सभी को अभिसिंचित रखें, हम सभी का जीवन पथ मंगलमय करें। यही कामना है।	non-hostile
पहले जिस समस्या को लोग स्वीकार भी नहीं करते थे, ऐसी समस्या के बारे में चर्चा करते हुए प्रधानमंत्री ने कहा कि हम शहरों की हवा में बदलाव लाकर दिखाएंगे, इसके लिए मैं उनका धन्यवाद करता हूं  केंद्रीय मंत्री	non-hostile
जेल में डालें	hate,offensive
भारतीय रिज़र्व बैंक के पूर्व गवर्नर उर्जित पटेल ने बताया प्रधानमंत्री नरेंद्र मोदी को सबसे निकम्मा प्रधानमंत्री 	fake
