text	multi_label
दृढ़ इच्छा शक्ति से परिपूर्ण प्रणबदा के लिए देशहित सर्वोच्च रहा। उनका निधन हम सब के लिए अपूरणीय क्षति है। ईश्वर दिवंगत आत्मा को अपने श्रीचरणों में स्थान दें। शोक संतप्त परिजनों के प्रति संवेदनाएं। ऊं शांति	non-hostile
भारतीय जनता पार्टी rss वाले इतने गिरे हुए हैं जहां मैं रहती हूं वहां मेरी जासूसी करा रहें है उसकी जासूस की पहचान मुझे अच्छी तरह है rss बीजेपी वाले की जासूस दिल्ली में कौन है उत्तर प्रदेश में कौन है हरियाणा राजस्थान में कौन है सबकी पहचान है मुझे मेरी नजर से बच नहीं सकते हो	defamation
कोरोना से निपटने की तैयारी  दिल्ली में हजार बेड वाला दुनिया का सबसे बड़ा कोविड केयर सेंटर शुरू, राजनाथशाह ने डीआरडीओ के हजार बेड वाले सेंटर का भी उद्घाटन किया	non-hostile
गवर्नर कॉन्फ्रेंस में PM मोदी बोले शिक्षा नीति में सरकार का दखल कम होना चाहिए	non-hostile
यूपी गाजीपुर में Toilet घोटाला, प्रधान व सचिव ने किया लाखों का गबन, मुर्दों के नाम पर बनवा डाले शौचालय	non-hostile
हॉन्ग कॉन्ग में एक व्यक्ति में दोबारा कोरोना का इंफेक्शन हो गया था. वैज्ञानिकों और डॉक्टरों का इस बारे में कहना है कि इस व्यक्ति की जेनेटिक सिक्वेंसिंग की गई है. इससे पता चला है कि उसे जो दो बार इंफेक्शन हुए हैं, वो अलगअलग वायरस से हुए हैं.	non-hostile
राफेल की तैनाती के बादअंबाला एयरबेस के किलोमीटर के दायरे में कबूतर उड़ाने वालों को जारी हुए नोटिस	non-hostile
अद्भुत  जो वामपंथी कहते है कि महाभारत का युद्ध काल्पनिक है, और सनातन धर्म कुछ है ही नही। उनके मुंह पर विदेशी पुरातत्व विभाग ने जोरदार तमाचा मार दिया है। कुरूक्षेत्र के पास खुदाई करते समय विदेशी पुरातत्व विशेषज्ञों को एक फुट की लम्बाई के मानव कंकाल के अवषेश मिले । जो महाभारत के भीम के पुत्र घटोत्कच के वर्णन के समान है । और हम भारत वासियों को महाभारत ही कहानी काल्पनीक लगती है । इसे डिस्कवरी चैनल ने प्रसारित किया है । जय हो सनातन धर्म की जय हो  जय श्री राम जय श्री कृष्ण	fake
पुलिस ने किया अवैध शस्त्र फैक्ट्री का खुलासा, पुलिस ने आरोपियों को किया गिरफ्तार, भारी मात्रा में अवैध शस्त्र किए बरामद, गजरौला थाना पुलिस ने किया खुलासा।	non-hostile
कोरोना से ठीक होने के बाद भी बीमार क्यों पड़ रहे हैं लोग	non-hostile
सोना रुपये और चांदी रुपये उछले, जानिए क्या हो गई नई कीमत via	non-hostile
मुरादाबाद के चर्चित ध्रुव किडनैपिंग केस में जब यूपी पुलिस ने तेलंगाना के कुख्यात अपहरणकर्ता मोहम्मद अशफाक खान को गिरफ्तार किया तो वो फूटफूट कर रोने लगा और पुलिस से अपनी जान की भीख मांगने लगा.	non-hostile
भाई जाके हिन्दू भाइयों की मदद कर जिनकी नौकरी चली गई जो आत्महत्या कर रहे है अब ये मत पूछना तूने कितनी की मदद की	offensive
यह दुर्घटना कन्नूर अंतर्राष्ट्रीय हवाई अड्डे में हुई, जब एक व्यक्ति पावर बैंक का उपयोग करके अपने सेल फोन को चार्ज कर रहा था और आग लग गई । जागरूकता बढ़ाने के लिए वीडियो को शेयर करें ।	fake
सत्य कभी कमजोर नही होने देता। और “ज्ञान” कभी दुःखी और भयभीत नही होने देता। “प्रेम” किसी से विश्वासघात और घृणा नही करने देता ।। भगवान गौतम बुद्ध	non-hostile
रेट फिक्स है कृप्या मोल भाव न करें। ाहीनबाग़प्रोटेस्ट	hate,offensive
आज बैंक ऑफ इंडिया और आइशर मोटर्स समेत ये शेयर भर सकते हैं झोली via	non-hostile
