text	multi_label
भारतीय जनता पार्टी rss वाले इतने गिरे हुए हैं जहां मैं रहती हूं वहां मेरी जासूसी करा रहें है उसकी जासूस की पहचान मुझे अच्छी तरह है rss बीजेपी वाले की जासूस दिल्ली में कौन है उत्तर प्रदेश में कौन है हरियाणा राजस्थान में कौन है सबकी पहचान है मुझे मेरी नजर से बच नहीं सकते हो	defamation
अद्भुत  जो वामपंथी कहते है कि महाभारत का युद्ध काल्पनिक है, और सनातन धर्म कुछ है ही नही। उनके मुंह पर विदेशी पुरातत्व विभाग ने जोरदार तमाचा मार दिया है। कुरूक्षेत्र के पास खुदाई करते समय विदेशी पुरातत्व विशेषज्ञों को एक फुट की लम्बाई के मानव कंकाल के अवषेश मिले । जो महाभारत के भीम के पुत्र घटोत्कच के वर्णन के समान है । और हम भारत वासियों को महाभारत ही कहानी काल्पनीक लगती है । इसे डिस्कवरी चैनल ने प्रसारित किया है । जय हो सनातन धर्म की जय हो  जय श्री राम जय श्री कृष्ण	fake
भाई जाके हिन्दू भाइयों की मदद कर जिनकी नौकरी चली गई जो आत्महत्या कर रहे है अब ये मत पूछना तूने कितनी की मदद की	offensive
यह दुर्घटना कन्नूर अंतर्राष्ट्रीय हवाई अड्डे में हुई, जब एक व्यक्ति पावर बैंक का उपयोग करके अपने सेल फोन को चार्ज कर रहा था और आग लग गई । जागरूकता बढ़ाने के लिए वीडियो को शेयर करें ।	fake
रेट फिक्स है कृप्या मोल भाव न करें। ाहीनबाग़प्रोटेस्ट	hate,offensive
रामायण के दोहा नंबर में लिखा है जब पृथ्वी पर निंदा बढ़ जाएगी पाप बढ़ जाएंगे तब चमगादर अवतरित होंगे और चारों तरफ उनसे संबंधित बीमारी फैल जाएंगी और लोग मरेंगे और दोहा नंबर में लिखा है की एक बीमारी जिसमें नर मरेंगे उसकी सिर्फ एक दवा है प्रभु भजन दान और समाधि में रहना यानी लोकडाउन	fake
   कंगना रनौत के अवैध ऑफिस के लिए हाइकोर्ट्स के पास टाइम ही टाइम है लेकिन संजीव भट्ट , डॉ कफील , उमर खालिद पर होने वाली तानाशाही…	defamation
एक महिला को स्वास्थ्य कर्मचारियों के साथ रूखे अंदाज़ से पेश आते हुए दिखाया गया है। ये स्वास्थ्य कर्मचारी घरघर पोलियो वैक्सीन प्रशासन अभियान पर थे।	fake
नागरिकता संशोधन विधेयक के विरोध में जिन पार्टियों के वोट राज्यसभा में पड़े हैं, कांग्रेस, तृणमूल कांग्रेस और आप जैसी ये पार्टियां पाकिस्तान, बांग्लादेश और अफगानिस्तान के हिन्दू, जैन, सिख, ईसाई, पारसी आदि शरणार्थियों को भारतीय नागरिकता देने के खिलाफ हैं। 	hate
तस्वीर दावा करती है की पूर्वप्रधानमंत्री मनमोहन सिंह सोनिया गाँधी के पैर छू रहे हैं यह थे हमारे पूर्व प्रधान मंत्री कम से कम इनकी उम्र का तो लिहाज़ कर लिया होता	fake
ये कमीना बातें बड़ी बड़ी करता है मगर हरकत सड़क छाप भिखमंगे की है	hate,offensive
बॉलीवुड में हो सकता है अनुराग जैसे और भी गंदे व कमीनी लोग हो इन लोगों की भी जांच हो और बॉलीवुड में से ऐसी गंदी गटर साफ हो अरे शर्म करो बॉलीवुड क्याक्या करते हैं बॉलीवुड में धिक्कार है ऐसे लोगों पर	hate,offensive
आगरा में घंटे में भर्ती हुए कोरोना मरीजों की मृत्यु हो गई। यूपी सरकार के लिए कितनी शर्म की बात है कि इसी मॉडल का झूठा प्रचार करके सच दबाने की कोशिश की गई। सरकार की नो टेस्टनो कोरोना पॉलिसी पर सवाल उठे थे लेकिन सरकार ने जवाब नहीं दिया।	fake
गलवान घाटी भारत की हाथ से गई मेरी बात को आप लिख लीजिए फिंगर फॉर से फिंगर तक भारत के हाथ से गई	hate
पीएनबी ब्रांच में काम करने वाले सभी कर्मचारी कोरोना पॉजिटिव आए हैं	fake
शाहीन बाग में बुर्के वालियों का फिक्स रेट है दो टाइम का खाना और ₹500 इसीलिए तो यह अपने उन छोटे बच्चों को भी ले जा रहे हैं जिनको एन आर सी का फुल फॉर्म नहीं पता नाही सीए ए का यह केवल उन छोटे बच्चों को भी ₹500 मिल जाए इसलिए लेके जा रही हैं जय हिंद जय श्री राम	hate
नाना ने खाया , दादी ने खाया, पापा ने खाया, मम्मी ने खाया आओ बहना तुम भी खालो जीजू को भी यहाँ बुला लो । अमूल विज्ञापन गांधी परिवार को बना रहे हैं निशाना	fake
कांग्रेस नेता कमल नाथ को मिला एशिया के सबसे ईमानदार सांसद का खिताब	fake
 फिल्म अभिनेता नसीरुद्दीन शाह की तबीयत बिगड़ी, अस्पताल में भर्ती, कई दिनों से बीमार हैं.	fake
सभी हरामियों जो करो कि शक्ल से भी नफरत है बुड्ढा साला चकरी में लगाकर जवान होने की एक्टिंग करता है अपनी उंगलियां गिन इंसान नहीं हो तुम लोग हैं मानो हैवान	fake,offensive
िल्ली के मुख्यमंत्री जी का दिल से धन्यवाद जिन्होंने िराड़ी विधानसभा को ंदन बना दिया। यह देखिए किस प्रकार एक पूरा परिवार ंदन की गली में बैठकर  गरमा गरम चाय और बिस्कुट का आनंद ले रहे है आर के निराला के कलम	fake
भाउ श्री के ब्लेक टिकिट बेचकर खुद बहुत काला पैसे कमाए हो,ओर काले दिन की बात करते शर्म नही साले सांढ़.... तू खुद लुटियन मोड़ में है....	defamation,fake,offensive
कल की घटना पर संजय सिंह को अरेस्ट करना चाहिए और कमीना को कड़ी से कड़ी सजा देना चाहिए नहीं तो इन लोगों के मन और भी बढ़ जाएगी	offensive
अस्सलामु अलैकुम प्यारे भाइयों क्या हाल चल है यह एक वीडियो मेरे पास आयी है जो कश्मीर की है  किसी को यदि न भी पता हो न तो मैं बताता हूँ की यह वीडियो कश्मीर की है  कश्मीर में जो हो रहा है आप अपनी आँखों से देख रहे हो  रोज़ इस तरह की वीडियो हमारे पास आती हैं  हम रोज़ देखते है और दो मिनट परेशान होते हैं  इस बार हम इस वीडियो को मीडिया तक पहुचाएंगे और इमरान खान शाब तक भी जानी चाहिए 	fake
हिमा दास ने जब जीता गोल्ड।	fake
