text	multi_label
मेरे देश के हिन्दु बहुत निराले है। कुछ तो पक्के राम भक्त है और कुछ बाबर के साले है  जय श्री राम 	hate,offensive
साले जेएनयू छाप कमिने लोग हिन्दुओं को यह कहते है की संविधान सबको बराबर अधिकार देता है। सच्चाई यह है कि यह बराबर अधिकार नहीं देता है।	defamation,offensive
चीन ने UN में तर्क दिया की भारत का विपक्ष ही अजर‌ मसुद को आतंकी नहीं मानता तो हम कैसे माने। चुल्लू भर मूत्र में डूब मरो गद्दारों। अब यह भारत के लोगों को सोचना है कि वो विपक्ष को वोट क्यों करें…विक्रम शर्मा	fake
   मोदीजी और जब सारा देश सेना के साथ खडी है, पर दो सयाने विदेश मे पडे है इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त न…	hate
   घरों को तोड़ने का आदेश आया है, किसी को कोई फर्क़ नहीं पड़ता अमीरों के में से मकान के किसी अवैध हिस्से भी एक…	offensive
आजम खान की बेटी पर ससूर ने किया रेप। अब quatation ये उठता है कि होने वाला बच्चा आजम खान के रियल दमाद को क्या बोलेगा।	offensive
कांग्रेस मूल की कंगना रनौत बिहार चुनाव में भाजपा का प्रचार करेंगी	fake
जापान के नोबल पुरस्कार जीतने वाले ओर साल तक चीन में काम करने वाले प्रोफेसर ासुकूहोंजो का दावा, कोरोना प्राकृतिक नही कृत्रिम वायरस है जो चीन ने बनाया है।	fake
दिल्ली में हिंदुओं और सिक्खों की सामूहिक हत्याएं करने के लिए आतंकवादी जेहादी घी के डिब्बे में अवैध हथियार सप्लाई करते हुए धर दबोचे गए।	fake,hate
कुत्ते में भी एकता होती है विचारों में विरोध होती लेकिन फिर भी उसे में एकता होती है पत्रकार में नहीं आज तक न्यूज़ चैनल पर आशुतोष सर को गौरव भाटिया बोला दोनों कान पर थप्पड़ मारूंगा वहां बैठा पत्रकार रोहित सरदाना सुनती रही मुझे बहुत दुख हुई	offensive
हा बे कटे लैंड की पैदाइस हलाला की ओलाद तुम्हे ये नही मालूम तेरा अबु कौन है और तेरी खाला जान चुदाईखाना को नहीं पता कि तेरा अबु मौलवी साहब है, चचा है ,भाई जान है या पड़ोस वाला अब्दुल,फारुख, रहिस चचा भी तेरे अबु जान हो सकते है।साला सुवर तेरी ...	hate,offensive
गृह मंत्री अमित शाह को बोन कैंसर से जूझ रहे हैं	fake
ट्विटर पे बहुत से चूतिये मिलेंगे, जो साले हिंदुओं का विरोध करते हुए मिल जाएंगे... उनकी खुद की फेक id होती है, अब जैसे इसी चमन चूतिये को देखिए, पिस्टल पांडेय नाम रखे हैं और हिंदुओं के विरोध में लगे हुए है। किसी का भाड़े का टट्टू होगा, विरोध करने के , पा जा रहा होगा बस तभी।	hate
राहुल गांधी  Maa मैं अगले साल क्या करूंगा  सोनिया गांधी  बेटा TV रिचार्ज कर दिया है बैठकर छोटा भीम देख.	defamation
टीवी पर आने से पहले इतनी तैयारी करता है ये गरीब आदमी	fake
योगी आदित्यनाथ जी के अथक परिश्रम का ही प्रतिफल है कि उत्तर प्रदेश सभी विडम्बनाएं पीछे छोड़ सर्वांगीण विकास के रास्ते चल पड़ा है। जय हो जी।	hate
 मोदी जी के मोर के साथ वाले फोटो पर राहुल गाँधी का करारा जवाब 	defamation
शांतिप्रिय द्वारा मोहम्मद पैगंबर पर आपत्तिजनक टिप्पणी के लिए बैंगलोर में उपद्रव और हमारे यहाँ ीरखान जो नियमित रूप से हिंदू देवीदेवताओं को गाली दे रही थी। Although Prayagaj remained peaceful..	hate
जब दुनिया भर के विकसित देश बेहाल हो गए। इस दौरान प्रदेश ने जिस तरह डटकर इस मुश्किल वक्त का सामना किया वह सराहनीय है। योगी जी के पिता का स्वर्गवास भी हो गया लेकिन वह प्रदेश की जनता के प्रति अपनी प्रतिबद्घता दिखाते हुए लगातार जनता की सेवा में लगे रहे	offensive
केजरीवाल संघ शाखा की पैदाइश है संघ शाखा जिस तरह आतंक फैलती है झूठ फैलाती है उसी से इसने बचपन से शिक्षा दीक्षा ली है इसने तो प्लाज्मा डोनेट करके कोरोना परसेंट ठीक कर रही थी यह सब भ्रष्टाचार के जरिए अधिकारी बना है ज्ञान नहीं इसके पास	defamation,hate
ग्राम गांजा की जांच सीबीआई कर रही है उसकी रिपोर्ट पूरी मीडिया कर रही है सो डेढ़ सौ ग्राम गांजा तो बिहार के मुख्यमंत्री नीतीश कुमार के बंगला के छापा मारने पर मिल जाएगी कहां ग्राम के पीछे पड़े	defamation
